"date","state","recover"
2020-11-27,"SABAH",738
2020-11-27,"SARAWAK",3
2020-11-27,"WP LABUAN",5
2020-11-28,"PERLIS",0
2020-11-28,"KEDAH",9
2020-11-28,"PULAU PINANG",18
2020-11-28,"PERAK",54
2020-11-28,"SELANGOR",511
2020-11-28,"WP KUALA LUMPUR/PUTRAJAYA",75
2020-11-28,"NEGERI SEMBILAN",125
2020-11-28,"MELAKA",0
2020-11-28,"JOHOR",14
2020-11-28,"PAHANG",0
2020-11-28,"TERENGGANU",4
2020-11-28,"KELANTAN",14
2020-11-28,"SABAH",274
2020-11-28,"SARAWAK",2
2020-11-28,"WP LABUAN",10
2020-11-29,"PERLIS",NA
2020-11-29,"KEDAH",NA
2020-11-29,"PULAU PINANG",NA
2020-11-29,"PERAK",NA
2020-11-29,"SELANGOR",NA
2020-11-29,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-11-29,"NEGERI SEMBILAN",NA
2020-11-29,"MELAKA",NA
2020-11-29,"JOHOR",NA
2020-11-29,"PAHANG",NA
2020-11-29,"TERENGGANU",NA
2020-11-29,"KELANTAN",NA
2020-11-29,"SABAH",NA
2020-11-29,"SARAWAK",NA
2020-11-29,"WP LABUAN",NA
2020-11-30,"PERLIS",1
2020-11-30,"KEDAH",4
2020-11-30,"PULAU PINANG",19
2020-11-30,"PERAK",66
2020-11-30,"SELANGOR",1234
2020-11-30,"WP KUALA LUMPUR/PUTRAJAYA",226
2020-11-30,"NEGERI SEMBILAN",49
2020-11-30,"MELAKA",4
2020-11-30,"JOHOR",17
2020-11-30,"PAHANG",0
2020-11-30,"TERENGGANU",1
2020-11-30,"KELANTAN",8
2020-11-30,"SABAH",459
2020-11-30,"SARAWAK",2
2020-11-30,"WP LABUAN",22
2020-12-01,"PERLIS",NA
2020-12-01,"KEDAH",NA
2020-12-01,"PULAU PINANG",NA
2020-12-01,"PERAK",NA
2020-12-01,"SELANGOR",NA
2020-12-01,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-12-01,"NEGERI SEMBILAN",NA
2020-12-01,"MELAKA",NA
2020-12-01,"JOHOR",NA
2020-12-01,"PAHANG",NA
2020-12-01,"TERENGGANU",NA
2020-12-01,"KELANTAN",NA
2020-12-01,"SABAH",NA
2020-12-01,"SARAWAK",NA
2020-12-01,"WP LABUAN",NA
2020-12-02,"PERLIS",0
2020-12-02,"KEDAH",21
2020-12-02,"PULAU PINANG",36
2020-12-02,"PERAK",49
2020-12-02,"SELANGOR",186
2020-12-02,"WP KUALA LUMPUR/PUTRAJAYA",2
2020-12-02,"NEGERI SEMBILAN",59
2020-12-02,"MELAKA",2
2020-12-02,"JOHOR",20
2020-12-02,"PAHANG",0
2020-12-02,"TERENGGANU",4
